mll_min [GeV],ptll_min [GeV],mt2_min [GeV],B,S (mphi = 1.0 TeV),signif (mphi = 1.0 TeV),S (mphi = 1.3 TeV),signif (mphi = 1.3 TeV)
480,750,610,1334,287,7.85,137,3.74
480,750,740,877,196,6.61,120,4.04
480,750,880,318,66,3.7,79,4.45
480,480,610,2030,342,7.58,161,3.57
480,480,740,893,197,6.58,120,4.02
480,480,880,318,66,3.7,79,4.45
480,200,610,2030,342,7.58,161,3.57
480,200,740,893,197,6.58,120,4.02
480,200,880,318,66,3.7,79,4.45
400,750,610,1522,304,7.78,146,3.75
400,750,740,991,208,6.61,129,4.09
400,750,880,369,70,3.66,86,4.5
400,480,610,2262,361,7.6,171,3.6
400,480,740,1010,209,6.57,129,4.07
400,480,880,369,70,3.66,86,4.5
400,200,610,2262,361,7.6,171,3.6
400,200,740,1010,209,6.57,129,4.07
400,200,880,369,70,3.66,86,4.5
310,750,610,1687,321,7.82,155,3.78
310,750,740,1077,221,6.72,138,4.2
310,750,880,416,74,3.62,94,4.59
310,480,610,2494,382,7.65,181,3.63
310,480,740,1096,221,6.69,138,4.18
310,480,880,416,74,3.62,94,4.59
310,200,610,2494,382,7.65,181,3.63
310,200,740,1096,221,6.69,138,4.18
310,200,880,416,74,3.62,94,4.59
